1,0,2,3,[ 0.9  0.   0.   0.1],[ 0.68302703  0.15372973  0.13621622  0.02702703]
1,0,2,4,[ 0.72  0.18  0.    0.1 ],[ 0.68302703  0.15372973  0.13621622  0.02702703]
1,0,2,0,[ 0.3888  0.2592  0.252   0.1   ],[ 0.68302703  0.15372973  0.13621622  0.02702703]
1,0,2,1,[ 0.5184  0.1296  0.252   0.1   ],[ 0.68302703  0.15372973  0.13621622  0.02702703]
1,1,3,0,[ 0.9         0.          0.04736842  0.05263158],[ 0.78075   0.09675   0.106875  0.015625]
1,1,3,3,[ 0.81  0.    0.09  0.1 ],[ 0.78075   0.09675   0.106875  0.015625]
1,1,3,4,[ 0.648  0.162  0.09   0.1  ],[ 0.78075   0.09675   0.106875  0.015625]
1,1,3,6,[ 0.54  0.36  0.    0.1 ],[ 0.78075   0.09675   0.106875  0.015625]
1,1,3,5,[ 0.3888  0.0972  0.414   0.1   ],[ 0.78075   0.09675   0.106875  0.015625]
1,1,3,2,[ 0.9  0.   0.   0.1],[ 0.78075   0.09675   0.106875  0.015625]
1,2,1,0,[ 0.9  0.   0.   0.1],[ 0.84214286  0.05785714  0.06428571  0.03571429]
1,2,1,3,[ 0.81  0.    0.09  0.1 ],[ 0.84214286  0.05785714  0.06428571  0.03571429]
1,2,1,4,[ 0.648  0.162  0.09   0.1  ],[ 0.84214286  0.05785714  0.06428571  0.03571429]
1,4,3,0,[ 0.72642857  0.          0.23785714  0.03571429],[ 0.66871233  0.10060274  0.2169863   0.01369863]
1,4,3,3,[ 0.81  0.    0.09  0.1 ],[ 0.66871233  0.10060274  0.2169863   0.01369863]
1,4,3,4,[ 0.54  0.36  0.    0.1 ],[ 0.66871233  0.10060274  0.2169863   0.01369863]
1,4,3,1,[ 0.2916  0.1944  0.414   0.1   ],[ 0.66871233  0.10060274  0.2169863   0.01369863]
1,4,3,6,[ 0.63473684  0.09473684  0.21789474  0.05263158],[ 0.66871233  0.10060274  0.2169863   0.01369863]
1,6,1,5,[ 0.72  0.18  0.    0.1 ],[ 0.72  0.18  0.    0.1 ]
